review_id,issue_type,severity,status,enforcement_id,bulletin_id,pops_id_candidate,detail,suggested_candidates,source_pdf,source_page,enforcement_text_excerpt,detected_at
R-82490cf66a,db_match_without_pops_terms,medium,open,EA-202002-6a3ff84a1b,2020-02,M050112,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2020/02.pdf,3,"$5,625 in penalties were issued to MIP 57th Development Acquisition LLC, the owner of 432 Park Avenue, Manhattan, for displaying an outdoor sign without a permit, failing to have a licensed sign hanger erect or attach the sign, and failing to attach the required UL decal to the sign. The sign, which faced both Park Avenue and East 56th Street, has since been removed.",2026-09-21T01:30:30+00:00
R-df382bbd21,db_match_without_pops_terms,medium,open,EA-202004-5c5d6171b9,2020-04,M010037,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2020/04.pdf,2,"$10,000 in total penalties issued to Safety Registrant Tishman Construction Corp. for failure to file two separate required incident reports within three days of two separate worker injury incidents at a construction site at 388 Greenwich Street, Manhattan. One worker was injured at the site after they tripped on an extension cord and was taken to the hospital. Another worker was injured during a ",2026-09-21T01:30:30+00:00
R-c697dfc5c8,db_match_without_pops_terms,medium,open,EA-202010-84dace1959,2020-10,M070029,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bin/high",,data/raw/dob_bulletins/2020/10.pdf,4,"$10,000 in penalties issued to Safety Registrant Tishman Construction Corp. for failure to install a sidewalk shed at 639 West 59th Street, Manhattan, which was required by the Code.",2026-09-21T01:30:30+00:00
R-4d8c41bd81,db_match_without_pops_terms,medium,open,EA-202106-d7f68750cc,2021-06,M060006,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2021/06.pdf,5,"$3,750 in penalties imposed on DS and D Land Company LLC, for displaying three accessory signs advertising parking at 500 3rd Avenue, Manhattan, without DOB permits.",2026-09-21T01:30:30+00:00
R-cb39c3297c,db_match_without_pops_terms,medium,open,EA-202107-66b691eb4b,2021-07,M060015,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2021/07.pdf,5,"$10,000 in penalties issued to Tracking Number Holder AR Contracting Group Inc. for failure to safeguard a construction site at 200 East 33rd Street, Manhattan, after an unsecured scaffold rope swung into the building, and broke the window of an apartment dwelling unit.",2026-09-21T01:30:30+00:00
R-2f10163ffc,db_match_without_pops_terms,medium,open,EA-202111-2c6a9ec353,2021-11,M050061,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2021/11.pdf,4,"$7,500 in penalties issued to 101 Park Avenue Associates II, LLC for displaying two illuminated “Kalikow” signs at 101 Park Avenue, Manhattan, without the required permits and above the relevant height limits. The signs were located inside of the building, eight inches from the windows at the top floor. The premises are being monitored for compliance.",2026-09-21T01:30:30+00:00
R-764b3276ec,db_match_without_pops_terms,medium,open,EA-202201-c056baf41e,2022-01,M070027,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2022/01.pdf,4,"$66,250 in total penalties issued to property owner NY LLC Brodcom West Development Comp. for illegal transient use of an apartment at 75 West End Avenue, Manhattan. Inspectors found three guests staying in an apartment in the building on a short-term stay booked through Airbnb. They also found that the apartment was missing a fire alarm system, which is required for transient units.",2026-09-21T01:30:30+00:00
R-e7fb82e018,db_match_without_pops_terms,medium,open,EA-202202-e71caefc72,2022-02,M010056,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2022/02.pdf,3,"$7,500 in total penalties issued to US Crane & Rigging for operating a crane with an expired registration and for not having the proper aircraft warning light at a construction site at 45 Park Place in Manhattan.",2026-09-21T01:30:30+00:00
R-aacdee6fe7,db_match_without_pops_terms,medium,open,EA-202203-ad619a5079,2022-03,K010003,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2022/03.pdf,5,"$2,500 penalty issued to Breeze National Inc. for displaying outdoor advertising sign posters on a construction fence at 292 Kent Avenue in Brooklyn.",2026-09-21T01:30:30+00:00
R-1dca15249f,db_match_without_pops_terms,medium,open,EA-202206-c89feb8ebe,2022-06,M010044,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2022/06.pdf,5,"$30,000 in total penalties issued to Safety Registrant JT Magen & Company Inc for violations observed at a 50-story building site at 1 Wall Street. Issued after a re-inspection of the site where on September 18, 2020, a guard fell down a shaft to his death. Inspection of the site resulted in summonses for failure to safeguard including: broken glass found on the 47th floor that was not secured; el",2026-09-21T01:30:30+00:00
R-31f8a91dce,db_match_without_pops_terms,medium,open,EA-202206-0318d26d5e,2022-06,M050068,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2022/06.pdf,5,"$20,000 in total penalties issued to Safety Registrant Breeze National Inc. for failure to designate a Site Safety Manager (SSM) and failure to notify DOB of a change in SSM at 2 Penn Plaza.",2026-09-21T01:30:30+00:00
R-d4f50caf98,db_match_without_pops_terms,medium,open,EA-202207-1b58078b4f,2022-07,M050064,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2022/07.pdf,5,"$2,500 in total penalties issued to Turner Construction Company for hanging a prohibited outdoor advertising company sign on the parapet wall of a sidewalk shed in front of 1 Penn Plaza, Manhattan.",2026-09-21T01:30:30+00:00
R-e750d49a71,db_match_without_pops_terms,medium,open,EA-202211-a37655fc06,2022-11,K020002,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2022/11.pdf,3,"$5,000 in penalties issued to Muss and Muss c/o Brooklyn Renaissance Plaza for a violation recorded at 350 Jay Street. DOB inspectors cited the building owner for having no plaques or signage at the location, a violation of a zoning requirement.",2026-09-21T01:30:30+00:00
R-84599e8095,db_match_without_pops_terms,medium,open,EA-202301-c9aad6ee79,2023-01,M060024,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2023/01.pdf,3,"$27,500 in penalties issued to 300 East 40th St Condominium for violations recorded at 300 East 40th Street. DOB inspectors issued violations to the company for failure to take required precautions after an unsafe facade filing, and for failure to comply charge with a prior violation. Unsafe report filed required netting, and inspections observed no netting from the 28th to 33rd floors.",2026-09-21T01:30:30+00:00
R-2b486f9c9b,db_match_without_pops_terms,medium,open,EA-202302-6e20ec8885,2023-02,M010015,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2023/02.pdf,3,"$12,500 in penalties issued to Hunter Roberts Construction for violations recorded at 111 Wall Street. DOB inspectors issued violations for failure to follow manufacturer’s instructions, after a worker using a Skilsaw was holding the saw and wood without support or a workstation, resulting in almost slicing off three of his fingers.",2026-09-21T01:30:30+00:00
R-e3e2cc1308,db_match_without_pops_terms,medium,open,EA-202306-40d4396db9,2023-06,M010014,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2023/06.pdf,3,"$47,250 in total penalties issued to Ninety Five Wall Street LLC for violations recorded at 95 Wall Street. DOB inspectors issued violations for illegal transient use after observing an apartment occupied by 6 guests for fewer than 30 days and without a fire alarm system.",2026-09-21T01:30:30+00:00
R-e803dd923a,db_match_without_pops_terms,medium,open,EA-202307-ec0e69b9d0,2023-07,K010003,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2023/07.pdf,2,"$10,000 in penalties issued to Refinery Construction LLC for violations issued to 292 Kent Ave. DOB inspectors issued violations for failure to safeguard after a worker fell from a suspended scaffold where no guardrails were in place.",2026-09-21T01:30:30+00:00
R-c3388b6b71,db_match_without_pops_terms,medium,open,EA-202401-ce6ccfe6cc,2024-01,M050115,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2024/01.pdf,4,"$12,500 in penalties issued to Triton Construction LLC for violations recorded at 1245 Broadway. DOB inspectors issued violations for failure to comply with manufacturer’s specifications after a worker fell from a baker’s scaffold that was being used without attaching outriggers while doing framing.",2026-09-21T01:30:30+00:00
R-9e91b73c5e,db_match_without_pops_terms,medium,open,EA-202409-188b69aad7,2024-09,M050041,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2024/09.pdf,4,"$10,000 in penalties issued to Coastal Waterproofing LLC for violations recorded 437 Madison Ave. DOB inspectors issued violations following an incident where a worker fell 18 feet, landing on setback platform. Inspectors observed no guardrails or barriers present to block the fall, and worker was not tied off.",2026-09-21T01:30:30+00:00
R-c53e010c56,db_match_without_pops_terms,medium,open,EA-202412-786b122878,2024-12,M010046,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2024/12.pdf,7,"$10,000 in penalties issued to Structure Tone LLC for violations recorded at 60 Wall Street. DOB inspectors issued violations for failure to safeguard construction workers after one of the workers fell 30 feet while installing decking on the third floor.",2026-09-21T01:30:30+00:00
R-df6d25093c,db_match_without_pops_terms,medium,open,EA-202503-e21f11bc9b,2025-03,M010002,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2025/03.pdf,5,"$25,000 in penalties issued to Structure Tone, LLC for violations recorded at 240 Greenwich Street. DOB inspectors issued violations for failure to safeguard the public and property after inspectors responded to an incident where a forklift driver and a helper moving 20-foot rebar did not secure the load to the forklift, resulting in the forklift flipping when the load weight shifted, injuring bot",2026-09-21T01:30:30+00:00
R-78e9332ef8,db_match_without_pops_terms,medium,open,EA-202601-3139a1dfc3,2026-01,M010042,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2026/01.pdf,4,"$10,000 in penalties imposed on 17 Battery Place Condominium for violations recorded at 17 Battery Place. DOB inspectors issued violations for failure to safeguard after observing spalling concrete at several locations on the first floor, and spalling fireproof material from steel beams at several locations at a three-level parking structure located under an occupied building.",2026-09-21T01:30:30+00:00
R-cc0f8bb035,db_match_without_pops_terms,medium,open,EA-202603-567f45138f,2026-03,M050021,"Property is a POPS building but the paragraph does not mention POPS; the violation may concern the building, not the public space. Match: bbl/high",,data/raw/dob_bulletins/2026/03.pdf,4,"$30,000 in penalties imposed on JRM Construction MGMT LLC for violations recorded at 1345 6th Avenue. DOB inspectors issued violations for failure to safeguard the property after an exterior glass panel dislodged from the 43rd floor and landed on the street below. Inspectors also issued violations for failure to immediately inform DOB of an incident.",2026-09-21T01:30:30+00:00
R-6ac58565e9,low_confidence_match,medium,open,EA-202005-18d307716c,2020-05,M050093,address_fuzzy / medium: street suffix variant ('Park Avenue' ~ 'PARK AVENUE SOUTH'); building name 'Ascot' appears in the bulletin text,,data/raw/dob_bulletins/2020/05.pdf,3,"$5,000 in penalties issued to Ascot Owners, Inc., the owners of 407 Park Avenue, Manhattan, for a zoning violation due to a Privately Owned Public Space (POPS) that was found to be improperly maintained per the discretionary zoning agreement. DOB inspectors found a water fountain at the POPS was not functioning as required.",2026-09-21T01:30:30+00:00
R-4e498ec0c6,low_confidence_match,medium,open,EA-202311-467ac7fdca,2023-11,M080080,"address_exact / medium: exact address match, but geocoded BBL differs from POPS BBL",,data/raw/dob_bulletins/2023/11.pdf,4,"$6,250 in total penalties issued to One East River Place Realty Company LLC for violations recorded at 525 East 72nd Street. DOB inspectors issued violations to the Privately Owned Public Space (POPS) for failure to have required signage.",2026-09-21T01:30:30+00:00
R-de9466fd96,missing_bulletin_month,medium,open,,2024-06,,no bulletin for this month appears on the DOB index. DOB may not have published one; absence of enforcement data for this month must not be read as absence of enforcement.,,,,,2026-09-21T01:30:30+00:00
R-f322f2aa96,missing_bulletin_month,medium,open,,2024-07,,no bulletin for this month appears on the DOB index. DOB may not have published one; absence of enforcement data for this month must not be read as absence of enforcement.,,,,,2026-09-21T01:30:30+00:00
R-ff3823fc4b,missing_bulletin_month,medium,open,,2025-12,,no bulletin for this month appears on the DOB index. DOB may not have published one; absence of enforcement data for this month must not be read as absence of enforcement.,,,,,2026-09-21T01:30:30+00:00
R-ff30dca11a,possible_duplicate_action,medium,open,EA-201806-2fd0876a78,2018-06,,same_address_penalty_respondent: duplicates EA-201801-aa81f0b649,,data/raw/dob_bulletins/2018/06.pdf,1,"$24,000 in penalties issued to building owner Besham Ramlagan for failure to provide protection for an adjacent property during excavation operations at 365 East 197th Street, Bronx, which caused an adjacent building’s rear yard to collapse.",2026-09-21T01:30:30+00:00
R-ff40f912bb,possible_duplicate_action,medium,open,EA-202010-84dace1959,2020-10,M070029,same_address_penalty_respondent: duplicates EA-202002-57247f2dd9,,data/raw/dob_bulletins/2020/10.pdf,4,"$10,000 in penalties issued to Safety Registrant Tishman Construction Corp. for failure to install a sidewalk shed at 639 West 59th Street, Manhattan, which was required by the Code.",2026-09-21T01:30:30+00:00
R-4231baf596,possible_duplicate_action,medium,open,EA-202205-8b6bb628ef,2022-05,,same_address_penalty_respondent: duplicates EA-202008-89ea949c2b,,data/raw/dob_bulletins/2022/05.pdf,3,"$10,000 in penalties issued to Safety Registrant Hudson Yards Const II LLC for failure to institute safety measures at a work site at 415 10th Avenue. Issued after a worker was burned on both arms when disconnecting a live wire from a temporary power switch gear station in a sub cellar. Inspectors documented that inadequate supervision was taken when the main power was not disconnected prior to th",2026-09-21T01:30:30+00:00
R-ec8e9a0461,possible_duplicate_action,medium,open,EA-202205-e903c3bdfc,2022-05,,identical_text: duplicates EA-202111-e903c3bdfc,,data/raw/dob_bulletins/2022/05.pdf,5,"$30,000 in total penalties imposed on Abdelhamid M Abourya for illegally placing an outdoor advertising sign at 35 Starlight Road, Staten Island, in a residential area where advertising signs are prohibited. The sign was installed without the required permits, and without proper registration. It has since been removed.",2026-09-21T01:30:30+00:00
R-0c35c91251,possible_duplicate_action,medium,open,EA-202205-e5e82dd440,2022-05,,identical_text: duplicates EA-202111-e5e82dd440,,data/raw/dob_bulletins/2022/05.pdf,5,"$20,000 in total penalties issued to Tristate Crane LLC for using a knuckle boom delivery truck to install equipment inside of a construction site at 18B Sneden Avenue, Staten Island. The knuckle boom crane was being used without a certificate of on-site inspection, and without a certificate of operation, both required to use the delivery vehicle for construction operations.",2026-09-21T01:30:30+00:00
R-e27d67472e,possible_duplicate_action,medium,open,EA-202205-549b05fa1f,2022-05,,identical_text: duplicates EA-202111-549b05fa1f,,data/raw/dob_bulletins/2022/05.pdf,5,"The owners at 92 Alaska Street, Staten Island, were cited for illegally using the premises for auto repair and dead vehicle storage. Following the issuance of a warning letter from DOB’s Padlocks Unit sent to the owner, the illegal use was discontinued. The property will be monitored for continued compliance.",2026-09-21T01:30:30+00:00
R-9b796ed21c,possible_duplicate_action,medium,open,EA-202301-5a3b539a32,2023-01,,same_address_penalty_respondent: duplicates EA-202212-279869cebe,,data/raw/dob_bulletins/2023/01.pdf,1,"$180,000 in total penalties issued to 1630 Macombs HSG Development for violations recorded at 1630 Macombs Road. DOB inspectors issued violations with daily penalties for illegal alterations after observing a Class A apartment in the cellar altered from one-family to four-family composed of Single Residency Occupancies with key locks and people living in them.",2026-09-21T01:30:30+00:00
R-8f81db1b4b,possible_duplicate_action,medium,open,EA-202301-afa83a32ce,2023-01,,same_address_penalty_respondent: duplicates EA-202212-0bf43cfa49,,data/raw/dob_bulletins/2023/01.pdf,5,"$70,250 in total penalties issued to Kitty Ling Kwok for violations recorded at 86- 16 94th Street. DOB inspectors have issued violations with daily penalties for illegal alterations after observing four Single Residency Occupancies with key locks at attic and second floor. Inspectors also issued violations for work without a permit, egresses blocked, and no sprinkler present.",2026-09-21T01:30:30+00:00
R-1700adc96a,possible_duplicate_action,medium,open,EA-202510-ab7acfef36,2025-10,,same_address_penalty_respondent: duplicates EA-202505-62a4d6baba,,data/raw/dob_bulletins/2025/10.pdf,8,"$10,000 in penalties imposed on Gohar Construction Corp. for violations recorded at 788 Forest Avenue. DOB issued violations for failure to safeguard the active construction after observing a 15-foot vertical drop that lacked guardrails and a control access zone, as well as uncapped rebars and a defective construction fence that failed to prevent public access to the site.",2026-09-21T01:30:30+00:00
R-77184a80e8,possible_duplicate_action,medium,open,EA-202603-6d7bf2188d,2026-03,,same_address_penalty_respondent: duplicates EA-202411-fde02c8117,,data/raw/dob_bulletins/2026/03.pdf,3,"$70,000 in penalties imposed on Gammon Enterprises LLC for violations recorded at 461 Park Avenue South. DOB inspectors issued violations to the property owner for acting as an Outdoor Advertising Company without registration, for work without a permit, lack of UL decal, and failure to engage a licensed sign hanger. In addition, the sign is prohibited in the zoning district and violates height and",2026-09-21T01:30:30+00:00
R-150b3af6dc,possible_duplicate_action,medium,open,EA-202604-63898e3ecb,2026-04,,same_address_penalty_respondent: duplicates EA-202506-45a3afee88,,data/raw/dob_bulletins/2026/04.pdf,3,"$12,500 in penalties imposed on Tin Chi Realty Corp for violations recorded at 999 3rd Avenue. DOB inspectors issued violations for work without a permit for an outdoor advertising sign. Violating signs pictured below.",2026-09-21T01:30:30+00:00
R-358ff873e3,suspicious_penalty,medium,open,EA-202211-3cdf2936da,2022-11,,entry starts with '$' but no penalty amount could be parsed,,data/raw/dob_bulletins/2022/11.pdf,5,$.,2026-09-21T01:30:30+00:00
R-dee7fbdebf,suspicious_penalty,medium,open,EA-202211-3cdf2936da-2,2022-11,,entry starts with '$' but no penalty amount could be parsed,,data/raw/dob_bulletins/2022/11.pdf,5,$,2026-09-21T01:30:30+00:00
R-d44069b4a5,suspicious_penalty,medium,open,EA-202401-108e6845cb,2024-01,,entry starts with '$' but no penalty amount could be parsed,,data/raw/dob_bulletins/2024/01.pdf,4,"$25,000in penalties issued to Rockefeller University for violations recorded at 1198 York Avenue. DOB inspectors issued violations after item previously filed in a Safe With Repair and Maintenance Program (SWARMP) report were not corrected and a sidewalk shed was not in place.",2026-09-21T01:30:30+00:00
R-e84594b610,suspicious_penalty,medium,open,EA-202412-9233f802a8,2024-12,,entry starts with '$' but no penalty amount could be parsed,,data/raw/dob_bulletins/2024/12.pdf,4,"$15,000 in total in penalties issued to Chaya Friedman for violations recorded at 4009 16th Avenue. DOB inspectors issued violations for work without a permit for the full gut renovation observed on the first and second floor that had been performed without permits, and for failure to safeguard due to lack of fire guards or fire extinguishers on site while steel welding work was underway. Addition",2026-09-21T01:30:30+00:00
R-f52d50d892,address_not_parsed,low,open,EA-201802-8cfd4060a5,2018-02,,no street address could be extracted from a property-type entry,,data/raw/dob_bulletins/2018/02.pdf,2,"A total of $10,000 in penalties issued to Serlin Building LTD and Out Front Media LLC for displaying an illegal outdoor advertising sign without a permit at 464 Bushwick, Avenue, Brooklyn.",2026-09-21T01:30:30+00:00
R-b1161b0ff9,address_not_parsed,low,open,EA-201803-374c20b2ad,2018-03,,no street address could be extracted from a property-type entry,,data/raw/dob_bulletins/2018/03.pdf,1,"$10,000 in penalties issued to Benson Industries LLC for operating two cranes in an unsafe manner, using them beyond their stated lifting capacities to hoist windows at a construction site.",2026-09-21T01:30:30+00:00
R-e8f4047024,address_not_parsed,low,open,EA-201803-61e3a1efac,2018-03,,no street address could be extracted from a property-type entry,,data/raw/dob_bulletins/2018/03.pdf,1,"$10,000 in penalties issued to Roberto W. Cardas for operating a knuckle boom truck in an unsafe manner, improperly using the truck’s outriggers on a city sidewalk without approval from DOB and without providing proper protections to pedestrians.",2026-09-21T01:30:30+00:00
R-3d96e4b43f,address_not_parsed,low,open,EA-201804-a6c928b316,2018-04,,no street address could be extracted from a property-type entry,,data/raw/dob_bulletins/2018/04.pdf,2,"$52,000 in penalties issued to building owner Marlo Gitto for the illegal transient use of two residential units at 12-14 27thAvenue, Queens.",2026-09-21T01:30:30+00:00
R-66a13cfd23,address_not_parsed,low,open,EA-201811-c209716591,2018-11,,no street address could be extracted from a property-type entry,,data/raw/dob_bulletins/2018/11.pdf,2,"$10,000 in penalties issued to Registered General Contractor, DCD Construction LLC, for failure to safeguard a construction site after it was determined that the Yodock barriers used to protect pedestrians were not properly installed, and not filled with water to weigh them down.",2026-09-21T01:30:30+00:00
R-b7d05d29c0,address_not_parsed,low,open,EA-201812-f187c7223b,2018-12,,no street address could be extracted from a property-type entry,,data/raw/dob_bulletins/2018/12.pdf,3,"$3,750 in penalties issued to Tracking Number Holder Bagiana Construction Inc. for violations related to failure to comply with a Tenant Protection Plan, failure to provide proper housekeeping, and failure to distribute the Safe Construction Bill of Rights to tenants.",2026-09-21T01:30:30+00:00
R-ce52eefd63,address_not_parsed,low,open,EA-201907-8df3af3f14,2019-07,,no street address could be extracted from a property-type entry,,data/raw/dob_bulletins/2019/07.pdf,1,"$30,312 in total penalties issued to General Contactor A2Z Construction Group Inc., for seven sit-safety violations on a construction site located at 2278 Bronx Park East, Bronx, including failing to have a superintendent or competent person on site, failing to provide required overhead protection, failing to have the construction plans on site, and three workers on site who did not have required ",2026-09-21T01:30:30+00:00
